Code,Date,AdjustedOpenPrice
AALI,2024-11-01,6775.0
ABBA,2024-11-01,29.0
ABDA,2024-11-01,4060.0
ABMM,2024-11-01,3900.0
ACES,2024-11-01,915.0
ACST,2024-11-01,107.0
ADES,2024-11-01,11500.0
ADHI,2024-11-01,288.0
ADMF,2024-11-01,10875.0
ADMG,2024-11-01,127.0
ADRO,2024-11-01,3620.0
AGRO,2024-11-01,268.0
AGRS,2024-11-01,85.0
AHAP,2024-11-01,102.0
AIMS,2024-11-01,486.0
AISA,2024-11-01,130.0
AKKU,2024-11-01,17.0
AKPI,2024-11-01,670.0
AKRA,2024-11-01,1360.0
AKSI,2024-11-01,468.0
ALDO,2024-11-01,540.0
ALKA,2024-11-01,394.0
ALMI,2024-11-01,76.0
ALTO,2024-11-01,16.0
AMAG,2024-11-01,350.0
AMFG,2024-11-01,4680.0
AMRT,2024-11-01,3320.0
ANJT,2024-11-01,760.0
ANTM,2024-11-01,1590.0
APEX,2024-11-01,157.0
APIC,2024-11-01,1085.0
APII,2024-11-01,176.0
APLI,2024-11-01,600.0
APLN,2024-11-01,123.0
ARGO,2024-11-01,1085.0
ARII,2024-11-01,256.0
ARNA,2024-11-01,765.0
ARTA,2024-11-01,2560.0
ARTI,2024-11-01,2.0
ASBI,2024-11-01,900.0
ASDM,2024-11-01,498.0
ASGR,2024-11-01,900.0
ASII,2024-11-01,5125.0
ASJT,2024-11-01,118.0
ASMI,2024-11-01,13.0
ASRI,2024-11-01,208.0
ASRM,2024-11-01,378.0
ASSA,2024-11-01,775.0
ATIC,2024-11-01,402.0
AUTO,2024-11-01,2530.0
BABP,2024-11-01,71.0
BACA,2024-11-01,133.0
BAJA,2024-11-01,100.0
BALI,2024-11-01,880.0
BAPA,2024-11-01,60.0
BATA,2024-11-01,57.0
BAYU,2024-11-01,1480.0
BBCA,2024-11-01,10275.0
BBKP,2024-11-01,61.0
BBLD,2024-11-01,710.0
BBMD,2024-11-01,1980.0
BBNI,2024-11-01,5250.0
BBRI,2024-11-01,4770.0
BBRM,2024-11-01,91.0
BBTN,2024-11-01,1415.0
BBYB,2024-11-01,268.0
BCAP,2024-11-01,72.0
BCIC,2024-11-01,192.0
BCIP,2024-11-01,61.0
BDMN,2024-11-01,2570.0
BEKS,2024-11-01,47.0
BEST,2024-11-01,120.0
BFIN,2024-11-01,990.0
BHIT,2024-11-01,42.0
BIKA,2024-11-01,55.0
BIMA,2024-11-01,104.0
BINA,2024-11-01,4130.0
BIPI,2024-11-01,76.0
BIPP,2024-11-01,30.0
BIRD,2024-11-01,2100.0
BISI,2024-11-01,1300.0
BJBR,2024-11-01,980.0
BJTM,2024-11-01,560.0
BKDP,2024-11-01,49.0
BKSL,2024-11-01,43.0
BKSW,2024-11-01,88.0
BLTA,2024-11-01,25.0
BLTZ,2024-11-01,2100.0
BMAS,2024-11-01,770.0
BMRI,2024-11-01,6725.0
BMSR,2024-11-01,356.0
BMTR,2024-11-01,220.0
BNBA,2024-11-01,720.0
BNBR,2024-11-01,47.0
BNGA,2024-11-01,1875.0
BNII,2024-11-01,226.0
BNLI,2024-11-01,1180.0
BOLT,2024-11-01,1100.0
BPFI,2024-11-01,314.0
BPII,2024-11-01,490.0
BRAM,2024-11-01,6000.0
BRMS,2024-11-01,368.0
BRNA,2024-11-01,650.0
BRPT,2024-11-01,995.0
BSDE,2024-11-01,1225.0
BSIM,2024-11-01,825.0
BSSR,2024-11-01,4630.0
BSWD,2024-11-01,3000.0
BTEK,2024-11-01,3.0
BTEL,2024-11-01,50.0
BTON,2024-11-01,366.0
BTPN,2024-11-01,2270.0
BUDI,2024-11-01,234.0
BUKK,2024-11-01,980.0
BULL,2024-11-01,129.0
BUMI,2024-11-01,139.0
BUVA,2024-11-01,66.0
