Code,Date,AdjustedClosingPrice,AdjustedOpenPrice,AdjustedHighPrice,AdjustedLowPrice,Volume,Frequency
SSIA,2024-10-01,1265.0,1280.0,1295.0,1260.0,10734000.0,1459.0
SSIA,2024-10-02,1205.0,1270.0,1270.0,1185.0,25086400.0,3143.0
SSIA,2024-10-03,1200.0,1220.0,1245.0,1195.0,16859200.0,2510.0
SSIA,2024-10-04,1170.0,1200.0,1210.0,1160.0,17047000.0,2224.0
SSIA,2024-10-07,1165.0,1180.0,1185.0,1150.0,18146800.0,2196.0
SSIA,2024-10-08,1150.0,1165.0,1165.0,1130.0,18196100.0,3421.0
SSIA,2024-10-09,1185.0,1150.0,1185.0,1120.0,23295100.0,2716.0
SSIA,2024-10-10,1155.0,1190.0,1195.0,1155.0,19198900.0,2360.0
SSIA,2024-10-11,1185.0,1160.0,1225.0,1160.0,17562500.0,2177.0
SSIA,2024-10-14,1185.0,1190.0,1200.0,1165.0,12947000.0,1666.0
SSIA,2024-10-15,1200.0,1195.0,1220.0,1170.0,18576700.0,2340.0
SSIA,2024-10-16,1245.0,1210.0,1255.0,1190.0,46015700.0,5791.0
SSIA,2024-10-17,1230.0,1250.0,1255.0,1210.0,32393200.0,5569.0
SSIA,2024-10-18,1270.0,1235.0,1270.0,1230.0,27581700.0,3015.0
SSIA,2024-10-21,1270.0,1280.0,1280.0,1235.0,27371900.0,3707.0
SSIA,2024-10-22,1260.0,1250.0,1270.0,1240.0,16981000.0,2154.0
SSIA,2024-10-23,1260.0,1260.0,1280.0,1245.0,20830700.0,2160.0
SSIA,2024-10-24,1230.0,1260.0,1270.0,1210.0,29604300.0,2778.0
SSIA,2024-10-25,1210.0,1230.0,1230.0,1190.0,20812400.0,1822.0
SSIA,2024-10-28,1210.0,1210.0,1210.0,1180.0,14194700.0,1196.0
SSIA,2024-10-29,1225.0,1210.0,1225.0,1195.0,14383500.0,1226.0
SSIA,2024-10-30,1230.0,1235.0,1235.0,1205.0,16115900.0,1748.0
SSIA,2024-10-31,1225.0,1235.0,1255.0,1210.0,19899500.0,1952.0
SSIA,2024-11-01,1190.0,1225.0,1230.0,1180.0,21162900.0,1989.0
SSIA,2024-11-04,1130.0,1190.0,1195.0,1110.0,32583800.0,2331.0
SSIA,2024-11-05,1115.0,1140.0,1145.0,1115.0,23759100.0,1663.0
SSIA,2024-11-06,1130.0,1150.0,1170.0,1105.0,24307000.0,1832.0
SSIA,2024-11-07,1105.0,1135.0,1135.0,1105.0,27446300.0,1901.0
SSIA,2024-11-08,1165.0,1115.0,1175.0,1110.0,26541300.0,1580.0
SSIA,2024-11-11,1135.0,1175.0,1180.0,1135.0,20181500.0,1136.0
SSIA,2024-11-12,1125.0,1140.0,1145.0,1125.0,16190400.0,1057.0
SSIA,2024-11-13,1100.0,1125.0,1140.0,1100.0,34872300.0,1814.0
SSIA,2024-11-14,1095.0,1105.0,1125.0,1090.0,21450800.0,1428.0
SSIA,2024-11-15,1075.0,1100.0,1100.0,1065.0,24538200.0,1455.0
SSIA,2024-11-18,1025.0,1070.0,1070.0,1015.0,31612300.0,1796.0
SSIA,2024-11-19,1000.0,1025.0,1030.0,1000.0,37750200.0,1627.0
SSIA,2024-11-20,1000.0,1005.0,1020.0,980.0,21533400.0,1773.0
SSIA,2024-11-21,985.0,1000.0,1005.0,980.0,24108100.0,1739.0
SSIA,2024-11-22,945.0,985.0,990.0,930.0,46673800.0,2183.0
SSIA,2024-11-25,985.0,950.0,990.0,925.0,27115300.0,2550.0
SSIA,2024-11-26,980.0,990.0,990.0,960.0,17782900.0,1452.0
SSIA,2024-11-28,965.0,985.0,990.0,950.0,14235100.0,937.0
SSIA,2024-11-29,955.0,955.0,970.0,940.0,24423300.0,1070.0
SSIA,2024-12-02,960.0,960.0,990.0,950.0,17229800.0,1462.0
SSIA,2024-12-03,975.0,960.0,990.0,960.0,15104200.0,817.0
SSIA,2024-12-04,975.0,980.0,985.0,955.0,19072100.0,1198.0
SSIA,2024-12-05,985.0,980.0,990.0,955.0,21905300.0,1133.0
SSIA,2024-12-06,975.0,985.0,990.0,950.0,21765200.0,1355.0
SSIA,2024-12-09,1040.0,980.0,1045.0,980.0,38254000.0,2904.0
SSIA,2024-12-10,1050.0,1060.0,1060.0,1005.0,39400200.0,3072.0
SSIA,2024-12-11,1075.0,1060.0,1140.0,1050.0,78542000.0,7028.0
SSIA,2024-12-12,1050.0,1090.0,1100.0,1050.0,36356400.0,3492.0
SSIA,2024-12-13,1005.0,1060.0,1060.0,1005.0,41614000.0,2678.0
SSIA,2024-12-16,980.0,1010.0,1025.0,980.0,27013400.0,2085.0
SSIA,2024-12-17,1000.0,990.0,1020.0,985.0,24673800.0,2561.0
SSIA,2024-12-18,1065.0,1000.0,1080.0,990.0,37945800.0,7400.0
SSIA,2024-12-19,1055.0,1060.0,1080.0,1010.0,38327500.0,3469.0
SSIA,2024-12-20,1100.0,1060.0,1110.0,1030.0,36690400.0,2869.0
SSIA,2024-12-23,1150.0,1110.0,1170.0,1095.0,25035400.0,4162.0
SSIA,2024-12-24,1250.0,1155.0,1285.0,1150.0,39250800.0,5114.0
SSIA,2024-12-27,1275.0,1270.0,1300.0,1150.0,49375900.0,5795.0
SSIA,2024-12-30,1345.0,1280.0,1365.0,1235.0,65119400.0,6755.0
SSIA,2025-01-02,1120.0,1345.0,1355.0,1105.0,86087500.0,13314.0
SSIA,2025-01-03,1105.0,1125.0,1150.0,1105.0,30897800.0,4649.0
SSIA,2025-01-06,1060.0,1110.0,1130.0,1045.0,35586000.0,4075.0
SSIA,2025-01-07,1120.0,1070.0,1150.0,1045.0,42078900.0,5713.0
SSIA,2025-01-08,1105.0,1120.0,1130.0,1080.0,23454200.0,3278.0
SSIA,2025-01-09,1085.0,1115.0,1120.0,1080.0,18092900.0,2322.0
SSIA,2025-01-10,1130.0,1085.0,1130.0,1075.0,23958800.0,3325.0
SSIA,2025-01-13,1120.0,1135.0,1155.0,1110.0,22638200.0,3193.0
SSIA,2025-01-14,1090.0,1125.0,1140.0,1090.0,15524700.0,1961.0
SSIA,2025-01-15,1105.0,1090.0,1115.0,1080.0,15399600.0,2249.0
SSIA,2025-01-16,1095.0,1105.0,1110.0,1080.0,16485200.0,2522.0
SSIA,2025-01-17,1065.0,1095.0,1100.0,1055.0,22939800.0,2512.0
SSIA,2025-01-20,1035.0,1070.0,1080.0,1025.0,26017100.0,2109.0
SSIA,2025-01-21,1020.0,1030.0,1035.0,990.0,33777900.0,3045.0
SSIA,2025-01-22,1020.0,1010.0,1040.0,1000.0,22046500.0,2724.0
